relativePath,originalExt,originalBytes,jpegBytes,deltaBytes,deltaPercent,originalSize,jpegSize,quality
TROG/original/1-boy.png,png,290886,33007,-257879,-88.65,284.07 KB,32.23 KB,85
TROG/original/1-fork.png,png,184685,15477,-169208,-91.62,180.36 KB,15.11 KB,85
TROG/original/1-knife.png,png,60265,8029,-52236,-86.68,58.85 KB,7.84 KB,85
TROG/original/1-shoe.png,png,250055,26066,-223989,-89.58,244.19 KB,25.46 KB,85
TROG/original/1-tree.png,png,776336,66179,-710157,-91.48,758.14 KB,64.63 KB,85
TROG/original/10-boy1.png,png,427585,51302,-376283,-88.00,417.56 KB,50.10 KB,85
TROG/original/10-girl1.png,png,387565,45264,-342301,-88.32,378.48 KB,44.20 KB,85
TROG/original/10-girl2.png,png,340688,45250,-295438,-86.72,332.70 KB,44.19 KB,85
TROG/original/10-tall.png,png,501461,59261,-442200,-88.18,489.71 KB,57.87 KB,85
TROG/original/100-gray-plane-over-clouds.png,png,2304000,124394,-2179606,-94.60,2.20 MB,121.48 KB,85
TROG/original/100-gray-plane-under-clouds.png,png,2391260,133762,-2257498,-94.41,2.28 MB,130.63 KB,85
TROG/original/100-white-plane-over-clouds.png,png,2301598,124534,-2177064,-94.59,2.19 MB,121.62 KB,85
TROG/original/100-white-plane-under-clouds.png,png,2399348,138702,-2260646,-94.22,2.29 MB,135.45 KB,85
TROG/original/101-whale-above-fish-turtle.png,png,2354605,147483,-2207122,-93.74,2.25 MB,144.03 KB,85
TROG/original/101-whale-behind-fish-turtle.png,png,2364154,148972,-2215182,-93.70,2.25 MB,145.48 KB,85
TROG/original/101-whale-below-fish-turtle.png,png,2351744,146085,-2205659,-93.79,2.24 MB,142.66 KB,85
TROG/original/101-whale-between-fish-turtle.png,png,2381187,149434,-2231753,-93.72,2.27 MB,145.93 KB,85
TROG/original/102-car-into-tunnel.png,png,566185,44195,-521990,-92.19,552.92 KB,43.16 KB,85
TROG/original/102-car-out-of-tunnel.png,png,535964,42966,-492998,-91.98,523.40 KB,41.96 KB,85
